"","date","block","plot","old_id","rep","t_num","g_ht","y_ht","max_ht","y_pct","clip_id","d_sub2","clip"
"200","6/19/2021",1,"F5",NA,4,2,5.5,NA,5.5,"-100","PR1",10,"PR"
"201","6/19/2021",1,"F5",NA,4,2,7,NA,7,"-100","CT2",10,"CT"
"202","6/19/2021",1,"F5",NA,4,2,9.5,NA,9.5,"-100","PU1",10,"PU"
"203","6/19/2021",1,"F5",NA,4,2,12,NA,12,"-100","CT1",10,"CT"
"204","6/19/2021",1,"F5",NA,4,3,11.5,NA,11.5,"-100","PU2",10,"PU"
"205","6/19/2021",1,"F5",NA,5,1,5,NA,5,"-100","CT2",10,"CT"
"206","6/19/2021",1,"F5",NA,5,2,4,NA,4,"-100","PR2",10,"PR"
"207","6/19/2021",1,"F5",NA,5,2,7,NA,7,"-100","PU2",10,"PU"
"208","6/19/2021",1,"F5",NA,5,2,7.5,NA,7.5,"-100","PR1",10,"PR"
"209","6/19/2021",1,"F5",NA,5,2,16,NA,16,"-100","CT1",10,"CT"
"210","6/19/2021",1,"F5",NA,5,3,12,NA,12,"-100","PU1",10,"PU"
"211","6/19/2021",1,"F5",NA,6,2,3,NA,3,"-100","PR2",10,"PR"
"212","6/19/2021",1,"F5",NA,6,2,7.5,NA,7.5,"-100","PU1",10,"PU"
"213","6/19/2021",1,"F5",NA,6,2,8.5,NA,8.5,"-100","CT2",10,"CT"
"214","6/19/2021",1,"F5",NA,6,2,9,NA,9,"-100","CT1",10,"CT"
"215","6/19/2021",1,"F5",NA,6,2,9.5,NA,9.5,"-100","PR1",10,"PR"
"216","6/19/2021",1,"F5",NA,6,2,12,NA,12,"-100","PU2",10,"PU"
"217","6/19/2021",1,"F5",NA,7,1,9.5,NA,9.5,"-100","PU1",10,"PU"
"218","6/19/2021",1,"F5",NA,7,2,3,NA,3,"-100","PR2",10,"PR"
"219","6/19/2021",1,"F5",NA,7,2,6,NA,6,"-100","CT1",10,"CT"
"220","6/19/2021",1,"F5",NA,7,3,11.5,NA,11.5,"-100","PR1",10,"PR"
"221","6/19/2021",1,"F5",NA,7,3,12,NA,12,"-100","CT2",10,"CT"
"222","6/19/2021",1,"F5",NA,7,3,14,NA,14,"-100","PU2",10,"PU"
"223","6/19/2021",1,"F5",NA,8,2,5.5,NA,5.5,"-100","PR2",10,"PR"
"224","6/19/2021",1,"F5",NA,8,2,11,NA,11,"-100","CT2",10,"CT"
"225","6/19/2021",1,"F5",NA,8,2,12,NA,12,"-100","PU1",10,"PU"
"226","6/19/2021",1,"F5",NA,8,2,15,NA,15,"-100","PU2",10,"PU"
"227","6/19/2021",1,"F5",NA,8,3,16,NA,16,"-100","CT1",10,"CT"
"228","6/19/2021",1,"F5",NA,8,5,15.5,NA,15.5,"-100","PR1",10,"PR"
"229","6/19/2021",1,"F5",NA,9,1,7,NA,7,"-100","CT1",10,"CT"
"230","6/19/2021",1,"F5",NA,9,2,9,NA,9,"-100","PR2",10,"PR"
"231","6/19/2021",1,"F5",NA,9,2,10.5,NA,10.5,"-100","PR1",10,"PR"
"232","6/19/2021",1,"F5",NA,9,3,8.5,NA,8.5,"-100","PU1",10,"PU"
"233","6/19/2021",1,"F5",NA,9,3,10,NA,10,"-100","CT2",10,"CT"
"234","6/19/2021",1,"F5",NA,9,3,13,NA,13,"-100","PU2",10,"PU"
"235","6/19/2021",1,"F5",NA,10,2,1,NA,1,"-100","PR2",10,"PR"
"236","6/19/2021",1,"F5",NA,10,2,11,NA,11,"-100","CT2",10,"CT"
"237","6/19/2021",1,"F5",NA,10,2,12,NA,12,"-100","CT1",10,"CT"
"238","6/19/2021",1,"F5",NA,10,2,12,NA,12,"-100","PU1",10,"PU"
"239","6/19/2021",1,"F5",NA,10,2,13,NA,13,"-100","PR1",10,"PR"
"240","6/19/2021",1,"F5",NA,10,2,14,NA,14,"-100","PU2",10,"PU"
"241","6/19/2021",2,"CT",NA,1,2,5,NA,5,"-100","PR1",10,"PR"
"242","6/19/2021",2,"CT",NA,1,2,7.5,NA,7.5,"-100","CT2",10,"CT"
"243","6/19/2021",2,"CT",NA,1,2,9,NA,9,"-100","PR2",10,"PR"
"244","6/19/2021",2,"CT",NA,1,3,7.6,NA,7.6,"-100","PU2",10,"PU"
"245","6/19/2021",2,"CT",NA,1,3,8.5,NA,8.5,"-100","PU1",10,"PU"
"246","6/19/2021",2,"CT",NA,1,3,13.1,NA,13.1,"-100","CT1",10,"CT"
"247","6/19/2021",2,"CT",NA,2,2,5.5,NA,5.5,"-100","PR2",10,"PR"
"248","6/19/2021",2,"CT",NA,2,2,10.1,NA,10.1,"-100","PU2",10,"PU"
"249","6/19/2021",2,"CT",NA,2,3,8.5,NA,8.5,"-100","PR1",10,"PR"
"250","6/19/2021",2,"CT",NA,2,3,8.5,NA,8.5,"-100","PU1",10,"PU"
"251","6/19/2021",2,"CT",NA,2,3,9,NA,9,"-100","CT2",10,"CT"
"252","6/19/2021",2,"CT",NA,2,3,12.4,NA,12.4,"-100","CT1",10,"CT"
"253","6/19/2021",2,"CT",NA,3,2,8.5,NA,8.5,"-100","PR2",10,"PR"
"254","6/19/2021",2,"CT",NA,3,2,11,NA,11,"-100","PR1",10,"PR"
"255","6/19/2021",2,"CT",NA,3,2,12,NA,12,"-100","PU1",10,"PU"
"256","6/19/2021",2,"CT",NA,3,3,9.5,NA,9.5,"-100","PU2",10,"PU"
"257","6/19/2021",2,"CT",NA,3,3,11.3,NA,11.3,"-100","CT1",10,"CT"
"258","6/19/2021",2,"CT",NA,3,3,12.1,NA,12.1,"-100","CT2",10,"CT"
"259","6/19/2021",2,"CT",NA,4,1,5,NA,5,"-100","PU1",10,"PU"
"260","6/19/2021",2,"CT",NA,4,2,7,NA,7,"-100","PR2",10,"PR"
"261","6/19/2021",2,"CT",NA,4,2,8.5,NA,8.5,"-100","PR1",10,"PR"
"262","6/19/2021",2,"CT",NA,4,2,9.75,NA,9.75,"-100","CT2",10,"CT"
"263","6/19/2021",2,"CT",NA,4,3,6.8,NA,6.8,"-100","PU2",10,"PU"
"264","6/19/2021",2,"CT",NA,4,3,11.1,NA,11.1,"-100","CT1",10,"CT"
"265","6/19/2021",2,"CT",NA,5,2,4,NA,4,"-100","PR1",10,"PR"
"266","6/19/2021",2,"CT",NA,5,2,5.5,NA,5.5,"-100","PR2",10,"PR"
"267","6/19/2021",2,"CT",NA,5,2,10.5,NA,10.5,"-100","PU1",10,"PU"
"268","6/19/2021",2,"CT",NA,5,3,10.7,NA,10.7,"-100","PU2",10,"PU"
"269","6/19/2021",2,"CT",NA,5,3,11.6,NA,11.6,"-100","CT1",10,"CT"
"270","6/19/2021",2,"CT",NA,5,3,12,NA,12,"-100","CT2",10,"CT"
"271","6/19/2021",2,"CT",NA,6,3,8.1,NA,8.1,"-100","PU2",10,"PU"
"272","6/19/2021",2,"CT",NA,6,3,9,NA,9,"-100","PR1",10,"PR"
"273","6/19/2021",2,"CT",NA,6,3,9,NA,9,"-100","PU1",10,"PU"
"274","6/19/2021",2,"CT",NA,6,3,9.5,NA,9.5,"-100","PR2",10,"PR"
"275","6/19/2021",2,"CT",NA,6,3,11,NA,11,"-100","CT2",10,"CT"
"276","6/19/2021",2,"CT",NA,6,3,15,NA,15,"-100","CT1",10,"CT"
"277","6/19/2021",2,"CT",NA,7,2,12.5,NA,12.5,"-100","CT2",10,"CT"
"278","6/19/2021",2,"CT",NA,7,3,5.5,NA,5.5,"-100","PR2",10,"PR"
"279","6/19/2021",2,"CT",NA,7,3,9.5,NA,9.5,"-100","PU1",10,"PU"
"280","6/19/2021",2,"CT",NA,7,3,10.5,NA,10.5,"-100","PR1",10,"PR"
"281","6/19/2021",2,"CT",NA,7,3,11.6,NA,11.6,"-100","PU2",10,"PU"
"282","6/19/2021",2,"CT",NA,7,3,13.8,NA,13.8,"-100","CT1",10,"CT"
"283","6/19/2021",2,"CT",NA,8,3,6,NA,6,"-100","PR2",10,"PR"
"284","6/19/2021",2,"CT",NA,8,3,8.5,NA,8.5,"-100","PU1",10,"PU"
"285","6/19/2021",2,"CT",NA,8,3,9,NA,9,"-100","CT2",10,"CT"
"286","6/19/2021",2,"CT",NA,8,3,11,NA,11,"-100","CT1",10,"CT"
"287","6/19/2021",2,"CT",NA,8,3,12.5,NA,12.5,"-100","PR1",10,"PR"
"288","6/19/2021",2,"CT",NA,8,4,12.1,NA,12.1,"-100","PU2",10,"PU"
"289","6/19/2021",2,"CT",NA,9,2,9,NA,9,"-100","PU1",10,"PU"
"290","6/19/2021",2,"CT",NA,9,3,8,NA,8,"-100","PR1",10,"PR"
"291","6/19/2021",2,"CT",NA,9,3,8,NA,8,"-100","PR2",10,"PR"
"292","6/19/2021",2,"CT",NA,9,3,8.5,NA,8.5,"-100","CT2",10,"CT"
