date,block,plot,old_id,clip_id,rep,t_num,g_ht,y_ht,max_ht,y_pct
6/19/2021,2,CT,,PU1,9,2,9,,9,-100
6/19/2021,2,CT,,PU1,10,3,9.5,,9.5,-100
6/19/2021,2,CT,,PU2,1,3,7.6,,7.6,-100
6/19/2021,2,CT,,PU2,2,2,10.1,,10.1,-100
6/19/2021,2,CT,,PU2,3,3,9.5,,9.5,-100
6/19/2021,2,CT,,PU2,4,3,6.8,,6.8,-100
6/19/2021,2,CT,,PU2,5,3,10.7,,10.7,-100
6/19/2021,2,CT,,PU2,6,3,8.1,,8.1,-100
6/19/2021,2,CT,,PU2,7,3,11.6,,11.6,-100
6/19/2021,2,CT,,PU2,8,4,12.1,,12.1,-100
6/19/2021,2,CT,,PU2,9,4,13,,13,-100
6/19/2021,2,CT,,PU2,10,2,8.3,,8.3,-100
6/19/2021,2,CT,,PR1,1,2,5,,5,-100
6/19/2021,2,CT,,PR1,2,3,8.5,,8.5,-100
6/19/2021,2,CT,,PR1,3,2,11,,11,-100
6/19/2021,2,CT,,PR1,4,2,8.5,,8.5,-100
6/19/2021,2,CT,,PR1,5,2,4,,4,-100
6/19/2021,2,CT,,PR1,6,3,9,,9,-100
6/19/2021,2,CT,,PR1,7,3,10.5,,10.5,-100
6/19/2021,2,CT,,PR1,8,3,12.5,,12.5,-100
6/19/2021,2,CT,,PR1,9,3,8,,8,-100
6/19/2021,2,CT,,PR1,10,3,5,,5,-100
6/19/2021,2,CT,,PR2,1,2,9,,9,-100
6/19/2021,2,CT,,PR2,2,2,5.5,,5.5,-100
6/19/2021,2,CT,,PR2,3,2,8.5,,8.5,-100
6/19/2021,2,CT,,PR2,4,2,7,,7,-100
6/19/2021,2,CT,,PR2,5,2,5.5,,5.5,-100
6/19/2021,2,CT,,PR2,6,3,9.5,,9.5,-100
6/19/2021,2,CT,,PR2,7,3,5.5,,5.5,-100
6/19/2021,2,CT,,PR2,8,3,6,,6,-100
6/19/2021,2,CT,,PR2,9,3,8,,8,-100
6/19/2021,2,CT,,PR2,10,3,8.5,,8.5,-100
6/19/2021,2,F2,,CT1,1,2,16,,16,-100
6/19/2021,2,F2,,CT1,2,3,13.5,,13.5,-100
6/19/2021,2,F2,,CT1,3,3,9,,9,-100
6/19/2021,2,F2,,CT1,4,2,12,,12,-100
6/19/2021,2,F2,,CT1,5,2,14,,14,-100
6/19/2021,2,F2,,CT1,6,2,12.5,,12.5,-100
6/19/2021,2,F2,,CT1,7,1,13,,13,-100
6/19/2021,2,F2,,CT1,8,2,10,,10,-100
6/19/2021,2,F2,,CT1,9,3,15,,15,-100
6/19/2021,2,F2,,CT1,10,2,12.5,,12.5,-100
6/19/2021,2,F2,,CT2,1,3,9,,9,-100
6/19/2021,2,F2,,CT2,2,2,15.6,,15.6,-100
6/19/2021,2,F2,,CT2,3,3,16,,16,-100
6/19/2021,2,F2,,CT2,4,2,15,,15,-100
6/19/2021,2,F2,,CT2,5,2,13.2,,13.2,-100
6/19/2021,2,F2,,CT2,6,4,11.2,,11.2,-100
6/19/2021,2,F2,,CT2,7,3,12.5,,12.5,-100
6/19/2021,2,F2,,CT2,8,2,16.5,,16.5,-100
6/19/2021,2,F2,,CT2,9,2,10.3,,10.3,-100
6/19/2021,2,F2,,CT2,10,3,13.5,,13.5,-100
6/19/2021,2,F2,,PU1,1,3,13.5,,13.5,-100
6/19/2021,2,F2,,PU1,2,4,15,,15,-100
6/19/2021,2,F2,,PU1,3,3,13,,13,-100
6/19/2021,2,F2,,PU1,4,3,15,,15,-100
6/19/2021,2,F2,,PU1,5,2,14,,14,-100
6/19/2021,2,F2,,PU1,6,3,12.5,,12.5,-100
6/19/2021,2,F2,,PU1,7,2,13.5,,13.5,-100
6/19/2021,2,F2,,PU1,8,3,12,,12,-100
6/19/2021,2,F2,,PU1,9,3,10.5,,10.5,-100
6/19/2021,2,F2,,PU1,10,3,12.5,,12.5,-100
6/19/2021,2,F2,,PU2,1,4,12,,12,-100
6/19/2021,2,F2,,PU2,2,2,10.5,,10.5,-100
6/19/2021,2,F2,,PU2,3,2,9.5,,9.5,-100
6/19/2021,2,F2,,PU2,4,2,8.5,,8.5,-100
6/19/2021,2,F2,,PU2,5,4,13.5,,13.5,-100
6/19/2021,2,F2,,PU2,6,3,11.5,,11.5,-100
6/19/2021,2,F2,,PU2,7,2,10,,10,-100
6/19/2021,2,F2,,PU2,8,3,11,,11,-100
6/19/2021,2,F2,,PU2,9,2,10,,10,-100
6/19/2021,2,F2,,PU2,10,3,11.5,,11.5,-100
